score,N,policy,coverage,set_size,delta_coverage,delta_size,queried,saving
APS,120,CS_beta_9_1,0.9269609567901234,3.2305206790123453,0.012327006172839458,0.1182481481481481,104.43333333333334,0.12972222222222218
APS,120,CS_uniform,0.9253381172839507,3.212885030864198,0.010704166666666622,0.10061249999999997,108.4,0.09666666666666662
APS,120,HG,0.9281023148148149,3.243063734567901,0.013468364197530818,0.13079120370370367,99.64444444444445,0.1696296296296296
APS,120,JRC,0.9275663580246913,3.241726851851852,0.012932407407407365,0.1294543209876543,92.37777777777778,0.2301851851851852
APS,120,fixed_25,0.9144050925925927,3.2243436728395065,-0.00022885802469135852,0.11207114197530862,30.0,0.7500000000000004
APS,120,fixed_50,0.9146992283950617,3.1595492283950617,6.527777777777952e-05,0.04727669753086418,60.0,0.5000000000000002
APS,120,fixed_75,0.9142896604938271,3.125471450617284,-0.0003442901234567834,0.013198919753086414,90.0,0.2500000000000001
APS,120,full_reference,0.9146339506172839,3.112272530864198,0.0,0.0,120.0,0.0
APS,240,CS_beta_9_1,0.9324077160493827,3.2660637345679016,0.018698611111111065,0.1913458333333333,183.91111111111113,0.23370370370370366
APS,240,CS_uniform,0.9328711419753086,3.272393672839506,0.01916203703703699,0.19767577160493824,193.72222222222223,0.19282407407407406
APS,240,HG,0.9325953703703704,3.270925,0.018886265432098717,0.19620709876543208,173.83333333333334,0.27569444444444446
APS,240,JRC,0.9319081790123457,3.2641341049382717,0.01819907407407403,0.18941620370370366,160.11111111111111,0.33287037037037037
APS,240,fixed_25,0.9159828703703704,3.1597895061728396,0.00227376543209876,0.0850716049382716,60.0,0.7500000000000004
APS,240,fixed_50,0.9145766975308641,3.104954320987654,0.0008675925925925934,0.030236419753086417,120.0,0.5000000000000002
APS,240,fixed_75,0.9135364197530864,3.08150987654321,-0.0001726851851851798,0.006791975308641982,180.0,0.2500000000000001
APS,240,full_reference,0.9137091049382716,3.074717901234568,0.0,0.0,240.0,0.0
LAC,120,CS_beta_9_1,0.9039046296296297,1.9690091049382714,0.020937962962962922,0.11676836419753081,103.97777777777777,0.13351851851851848
LAC,120,CS_uniform,0.9017972222222223,1.9530425925925927,0.018830555555555517,0.10080185185185181,108.14444444444445,0.09879629629629626
LAC,120,HG,0.9056391975308643,1.9855138888888888,0.022672530864197484,0.1332731481481481,99.15555555555555,0.1737037037037037
LAC,120,JRC,0.9044322530864198,1.9812390432098763,0.021465586419753047,0.12899830246913577,91.45555555555556,0.23787037037037045
LAC,120,fixed_25,0.8874979938271605,2.0307885802469134,0.004531327160493824,0.17854783950617284,30.0,0.7500000000000004
LAC,120,fixed_50,0.8853773148148149,1.930445987654321,0.002410648148148146,0.07820524691358022,60.0,0.5000000000000002
LAC,120,fixed_75,0.8833942901234568,1.8755265432098764,0.0004276234567901292,0.023285802469135794,90.0,0.2500000000000001
LAC,120,full_reference,0.8829666666666668,1.8522407407407409,0.0,0.0,120.0,0.0
LAC,240,CS_beta_9_1,0.9097543209876545,2.0018878086419756,0.028795216049382677,0.19507438271604935,179.67777777777778,0.2513425925925926
LAC,240,CS_uniform,0.9105995370370371,2.00535524691358,0.029640432098765393,0.19854182098765427,190.46666666666667,0.20638888888888887
LAC,240,HG,0.9097830246913582,2.001203395061728,0.028823919753086378,0.19438996913580242,171.41111111111113,0.28578703703703706
LAC,240,JRC,0.9084290123456792,1.9971972222222223,0.027469907407407367,0.19038379629629626,158.33333333333334,0.3402777777777778
LAC,240,fixed_25,0.8852677469135803,1.9298754629629629,0.004308641975308642,0.12306203703703703,60.0,0.7500000000000004
LAC,240,fixed_50,0.8822422839506173,1.8419810185185186,0.0012831790123456843,0.03516759259259257,120.0,0.5000000000000002
LAC,240,fixed_75,0.8813324074074074,1.8203577160493825,0.00037330246913580307,0.013544290123456775,180.0,0.2500000000000001
LAC,240,full_reference,0.8809591049382717,1.8068134259259259,0.0,0.0,240.0,0.0
